Time,CurPos,Error,Integral,Derivative
1487010096981,-0.95,-1.9,-1.9,0.0
1487010097481,-0.93125,-1.8625,-3.7625,1.9
1487010097982,-0.9625,-1.925,-5.6875,3.7625
1487010098481,-0.678125,-1.35625,-7.04375,5.6875
1487010098981,-0.56875,-1.1375,-8.18125,7.04375
1487010099481,-0.43125,-0.8625,-9.043750000000001,8.18125
1487010099981,-0.43125,-0.8625,-9.906250000000002,9.043750000000001
1487010100483,-0.359375,-0.71875,-10.625000000000002,9.906250000000002
1487010100981,-0.353125,-0.70625,-11.331250000000002,10.625000000000002
1487010101480,-0.12187499999999996,-0.2437499999999999,-11.575000000000003,11.331250000000002
1487010101989,-0.06562500000000004,-0.1312500000000001,-11.706250000000002,11.575000000000003
1487010102481,1.115625,2.23125,-9.475000000000001,11.706250000000002
1487010102981,1.25,2.5,-6.975000000000001,9.475000000000001
1487010103482,1.35,2.7,-4.275000000000001,6.975000000000001
1487010103982,1.35,2.7,-1.575000000000001,4.275000000000001
1487010104481,2.465625,4.93125,3.3562499999999993,1.575000000000001
1487010104982,2.921875,5.84375,9.2,-3.3562499999999993
1487010105482,2.859375,5.71875,14.91875,-9.2
1487010108481,2.9,5.8,20.71875,-14.91875
1487010108982,2.85,5.7,26.41875,-20.71875
1487010109482,2.85,5.7,32.11875,-26.41875
1487010109981,1.90625,3.8125,35.93125,-32.11875
1487010110481,1.459375,2.91875,38.85,-35.93125
1487010110981,1.2156250000000002,2.4312500000000004,41.28125,-38.85
1487010111482,0.109375,0.21875,41.5,-41.28125
1487010111982,-0.353125,-0.70625,40.79375,-41.5
1487010112481,-0.978125,-1.95625,38.837500000000006,-40.79375
1487010112981,-0.8625,-1.725,37.112500000000004,-38.837500000000006
